title,views,video_link,date_time,thumbnail_link
GfG 160 | Day - 11 | Maximum Product Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,801 views,/watch?v=54ftU2BX32Q,1 month ago,https://i.ytimg.com/vi/54ftU2BX32Q/hqdefault.jpg
GfG 160 | Day - 10 | Maximum Sum Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,822 views,/watch?v=UtKnJyQmptY,1 month ago,https://i.ytimg.com/vi/UtKnJyQmptY/hqdefault.jpg
OFF CAMPUS Placement and Internship 2025 Calendar revealed | Which company hires when?,5K views,/watch?v=m1bMe7YBLfQ,1 month ago,https://i.ytimg.com/vi/m1bMe7YBLfQ/hqdefault.jpg
GfG 160 | Day - 9 | Minimize the Heights | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1K views,/watch?v=FbwS1Uc1G5g,1 month ago,https://i.ytimg.com/vi/FbwS1Uc1G5g/hqdefault.jpg
GfG 160 | Day - 8 | Stock Buy and Sell (With One Limit) | 160 Days Daily DSA Problem Solving | GfG,937 views,/watch?v=SJ7nskvro4k,1 month ago,https://i.ytimg.com/vi/SJ7nskvro4k/hqdefault.jpg
Master Front End Development with this Roadmap | Free Doc Resource Inside,1.6K views,/watch?v=oerwFx6CZk4,1 month ago,https://i.ytimg.com/vi/oerwFx6CZk4/hqdefault.jpg
Winter Carnival Tickets are Live Now,541 views,/watch?v=k5fAC_ORuOg,1 month ago,https://i.ytimg.com/vi/k5fAC_ORuOg/hqdefault.jpg
GfG 160 | Day - 7 | Stock Buy and Sell (With No Limit) | 160 Days Daily DSA Problem Solving | GfG,1.1K views,/watch?v=ULd5mo-bCE4,1 month ago,https://i.ytimg.com/vi/ULd5mo-bCE4/hqdefault.jpg
GfG 160 | Day - 6 | Majority Element II | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1K views,/watch?v=6Mfyfn1_4BY,1 month ago,https://i.ytimg.com/vi/6Mfyfn1_4BY/hqdefault.jpg
GfG 160 | Day - 5 | Next Permutation | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.4K views,/watch?v=GQdOXQKdtQM,1 month ago,https://i.ytimg.com/vi/GQdOXQKdtQM/hqdefault.jpg
GfG 160 | Day - 4 | Rotate an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.6K views,/watch?v=5KzhdiOePOU,1 month ago,https://i.ytimg.com/vi/5KzhdiOePOU/hqdefault.jpg
GfG 160 | Day - 3 | Reverse an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.5K views,/watch?v=gGtmacuQu-k,1 month ago,https://i.ytimg.com/vi/gGtmacuQu-k/hqdefault.jpg
Use AI Before it Uses you!! | Become a 10x Coder,1.3K views,/watch?v=tXU3YRu23kU,1 month ago,https://i.ytimg.com/vi/tXU3YRu23kU/hqdefault.jpg
GfG 160 | Day - 2 | Move all Zeros to End | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2.1K views,/watch?v=Q2ynXrtGN8Y,1 month ago,https://i.ytimg.com/vi/Q2ynXrtGN8Y/hqdefault.jpg
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,4.9K views,/watch?v=JoNs4m0QCig,1 month ago,https://i.ytimg.com/vi/JoNs4m0QCig/hqdefault.jpg
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,7.8K views,/watch?v=puDKP5_0Ol4,1 month ago,https://i.ytimg.com/vi/puDKP5_0Ol4/hqdefault.jpg
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",1K views,/watch?v=1TnVdzwbzJo,1 month ago,https://i.ytimg.com/vi/1TnVdzwbzJo/hqdefault.jpg
Why you will not get placed? | Save yourself Now,2.1K views,/watch?v=b-6rmk233DU,1 month ago,https://i.ytimg.com/vi/b-6rmk233DU/hqdefault.jpg
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,2.9K views,/watch?v=rfyhmQYEJKE,1 month ago,https://i.ytimg.com/vi/rfyhmQYEJKE/hqdefault.jpg
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",531K views,/watch?v=hDfjzq9m5vI,1 month ago,https://i.ytimg.com/vi/hDfjzq9m5vI/hqdefault.jpg
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,4.1K views,/watch?v=A7_iaBNOxSU,2 months ago,https://i.ytimg.com/vi/A7_iaBNOxSU/hqdefault.jpg
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,3.4K views,/watch?v=FyHidTTNXJ8,2 months ago,https://i.ytimg.com/vi/FyHidTTNXJ8/hqdefault.jpg
How I would learn to code (if i could start over) | 18 LPA+ Package,2K views,/watch?v=Bq4TH-OhqY0,2 months ago,https://i.ytimg.com/vi/Bq4TH-OhqY0/hqdefault.jpg
