Brand,Model,Mileage,Year,Price
BMW,X6,103007,2018,17995.0
BMW,5 Series,32611,2021,21990.0
Chrysler,300,92716,2018,12995.0
Ford,Explorer,101722,2013,7499.0
Jeep,Grand Cherokee,122124,2014,8599.0
Hyundai,Elantra,7484,2022,15495.0
Hyundai,Sonata,62131,2018,11350.0
BMW,3 Series,56676,2021,19679.0
Honda,Accord,117518,2014,8995.0
Volkswagen,Taos,36873,2022,18611.0
Jeep,Grand Cherokee,98568,2015,9999.0
Kia,Sportage,56562,2019,12365.0
Subaru,Outback,100273,2017,11500.0
BMW,3 Series,77558,2022,29800.0
Toyota,Corolla,69991,2019,12939.0
Honda,Insight,40274,2022,17399.0
Hyundai,Tucson,26,2024,30000.0
Chevrolet,Impala,93300,2017,10995.0
Chevrolet,Express Cargo Van,123928,2021,15999.0
Mercedes-Benz,GLC,69805,2020,17600.0
Mazda,Mazda6,16255,2021,15995.0
Audi,A6,118357,2015,9495.0
Jeep,Wrangler,38970,2017,22800.0
Kia,Forte,32669,2021,14488.0
BMW,X1,47661,2021,18890.0
Jeep,Grand Cherokee,95446,2014,10985.0
BMW,X3,87831,2019,18337.0
Ford,Escape,84862,2017,8053.0
Honda,Accord,115128,2016,11995.0
Nissan,Versa,99854,2021,9299.0
Mercedes-Benz,GLE,78042,2020,24168.0
Ford,F-150,31383,2022,35998.0
Honda,Accord,56808,2018,15000.0
INFINITI,QX60,70535,2019,14999.0
BMW,X2,52371,2020,17995.0
Audi,A6,96949,2020,18799.0
Chevrolet,Equinox,67342,2020,11870.0
Jeep,Wrangler,41557,2021,28995.0
GMC,Terrain,105691,2015,6999.0
GMC,Savana Passenger,96452,2020,20995.0
Mercedes-Benz,C-Class,41876,2019,22900.0
Ford,E-Transit Cargo Van,18918,2022,24988.0
BMW,3 Series,31533,2023,23988.0
BMW,5 Series,62745,2022,24287.0
BMW,6 Series,65922,2018,25990.0
BMW,3 Series,31734,2021,20990.0
Mitsubishi,Outlander Sport,8901,2021,14994.0
BMW,3 Series,72104,2022,29999.0
Honda,Accord,42097,2019,15990.0
Volkswagen,Passat,68515,2017,10982.0
Volkswagen,Tiguan,20680,2021,17911.0
Kia,Forte,3006,2024,17399.0
Lincoln,MKZ,118569,2012,5499.0
Jeep,Cherokee,106809,2019,11599.0
Chevrolet,Equinox,98044,2021,12499.0
Mercedes-Benz,GLA,102211,2017,10996.0
INFINITI,QX60,169275,2019,8995.0
Dodge,Charger,104329,2014,8499.0
Tesla,Model 3,63424,2023,18988.0
BMW,X3,46318,2022,25995.0
Porsche,911,9552,2020,125995.0
Maserati,Levante,34131,2022,29900.0
Chevrolet,Express Cargo Van,59046,2016,16492.0
GMC,Sierra 1500,57063,2020,38450.0
Buick,Envision,7877,2023,29500.0
BMW,M6,111920,2007,15995.0
Ford,Focus,178318,2012,3499.0
Mercedes-Benz,GLE,57452,2020,27490.0
BMW,3 Series,49212,2021,20995.0
Tesla,Model 3,49009,2020,22995.0
Jeep,Grand Cherokee WK,82936,2021,18200.0
Kia,Optima,110584,2018,7499.0
Mercedes-Benz,GLE,66374,2021,27495.0
Chevrolet,Express Passenger,130601,2015,12995.0
BMW,X5,79365,2018,16749.0
Jeep,Wrangler,81382,2016,15995.0
Jeep,Grand Cherokee,30772,2023,22900.0
Mitsubishi,Eclipse Cross,58375,2019,10999.0
Audi,Q5,5968,2024,36995.0
Ford,Super Duty F-350,99509,2017,28881.0
Mitsubishi,Mirage,42530,2022,9900.0
Jeep,Compass,69718,2019,12799.0
Jeep,Compass,65986,2018,11995.0
Hyundai,Santa Cruz,4190,2024,24674.0
Toyota,Avalon,194480,2008,3995.0
Rolls-Royce,Dawn,27016,2019,224995.0
Chrysler,Pacifica,30118,2021,23995.0
Mitsubishi,Outlander,101091,2019,10995.0
Acura,MDX,138000,2010,4995.0
Ford,F-150 Lightning,22123,2023,46777.0
Hyundai,Tucson,48161,2022,16900.0
Jeep,Wrangler,84641,2016,15499.0
Jeep,Wrangler,89496,2017,17895.0
