Brand,Model,Mileage,Year,Price
Nissan,Sentra,15583,2022,18673.0
BMW,i4,4699,2024,41998.0
BMW,X3,22818,2022,32567.0
Chrysler,300,93916,2018,14450.0
Mercedes-Benz,GLB,44001,2020,24588.0
Mercedes-Benz,SL,110968,2005,8975.0
Mercedes-Benz,GLE,41836,2021,47998.0
Polestar,2,32987,2021,26899.0
Mercedes-Benz,GLE,41915,2020,34998.0
INFINITI,Q50,2125,2024,35888.0
Hyundai,Kona Electric,10207,2023,25900.0
BMW,X1,2615,2023,35598.0
Lexus,GX,41294,2021,45998.0
Ford,Edge,48592,2023,21998.0
Chevrolet,Colorado,98059,2022,18775.0
INFINITI,QX55,6,2024,38900.0
Mercedes-Benz,GLC,69081,2019,21961.0
Mazda,Mazda2,71639,2011,7974.0
Ford,Mustang,39777,2023,33998.0
Jeep,Compass,37905,2018,15995.0
Polestar,2,40049,2021,26199.0
Cadillac,XT6,49373,2023,31895.0
Cadillac,XT6,44098,2023,32895.0
Dodge,Charger,50103,2022,19998.0
Audi,Q7,70052,2015,16988.0
Kia,K5,20056,2022,22599.0
Chevrolet,Equinox,127463,2015,8325.0
Chevrolet,Malibu,25440,2022,18604.0
BMW,X1,2188,2023,35697.0
BMW,2 Series,21446,2022,30546.0
Honda,Prologue,660,2024,39167.0
Chevrolet,Silverado 1500,99039,2018,25555.0
Subaru,Impreza,101134,2013,8775.0
BMW,5 Series,112115,2014,9995.0
GMC,Acadia,90153,2017,15995.0
Volkswagen,Golf GTI,78876,2011,9495.0
Ford,Focus,159737,2013,8498.0
Honda,Pilot,53085,2022,28991.0
Volkswagen,Jetta,46778,2022,21495.0
BMW,3 Series,43142,2022,27482.0
BMW,X1,12407,2023,33766.0
Mercedes-Benz,GLB,7325,2024,37888.0
Mercedes-Benz,GLB,4008,2024,38888.0
Honda,Ridgeline,88033,2011,15285.0
Honda,CR-V,6159,2025,37991.0
Cadillac,Escalade,64526,2015,28999.0
Mercedes-Benz,EQE Sedan,4975,2024,62888.0
Ford,F-150,38919,2023,37974.0
Nissan,Ariya,15166,2023,28500.0
Ford,Explorer,38563,2023,26385.0
Ford,Edge,103208,2010,6900.0
Honda,CR-V,48715,2015,17991.0
Toyota,Prius,68836,2013,14999.0
BMW,X1,22607,2023,30393.0
Jeep,Wrangler,51616,2020,25998.0
Toyota,Camry,37813,2022,24988.0
Jeep,Gladiator,26614,2021,30998.0
BMW,i5,3645,2024,61860.0
Honda,Civic,17349,2023,23991.0
Nissan,Versa,56000,2015,7999.0
Mercedes-Benz,GLE,24795,2020,35988.0
HUMMER,H2,160173,2003,13950.0
BMW,X3,15485,2024,37167.0
Subaru,Ascent,7433,2024,36713.0
BMW,i4,3566,2024,59927.0
INFINITI,Q50,9,2024,33700.0
Acura,MDX,168996,2007,6995.0
Dodge,Challenger,94944,2014,12987.0
Kia,Niro EV,23788,2022,23500.0
Ford,Edge,11315,2024,29975.0
Jeep,Wrangler,49008,2022,32998.0
Chevrolet,Sonic,79733,2020,10890.0
Kia,Soul,43801,2022,15500.0
Jeep,Wrangler,31333,2021,26998.0
Honda,Accord,108146,2014,12473.0
BMW,3 Series,115637,2016,12975.0
Chevrolet,Trax,61199,2019,12600.0
Hyundai,NEXO,34563,2019,16998.0
Tesla,Model 3,66289,2018,19031.0
Toyota,bZ4X,16903,2023,27700.0
Chrysler,Pacifica,81731,2022,20998.0
