Brand,Model,Mileage,Year,Price
Mercedes-Benz,GLE,48015,2021,30400
Toyota,Matrix,133763,2008,3999
Ford,Fusion,72564,2017,9499
Mercedes-Benz,CLA,8164,2023,35900
Jeep,Wrangler,26789,2021,29900
BMW,5 Series,52853,2021,20805
Nissan,Rogue,48190,2021,16995
Mazda,Mazda3,74177,2015,11995
Ford,Escape,107813,2017,9495
Mazda,CX-5,77781,2019,13812
Nissan,Rogue,40036,2021,18193
Nissan,Versa,94635,2021,9899
Jeep,Wrangler,145184,2016,12640
BMW,4 Series,12683,2023,42700
Chevrolet,Impala Limited,131863,2014,4999
Jeep,Compass,13876,2021,19700
Volvo,XC70,84395,2016,15695
Nissan,Altima,91536,2019,12995
McLaren,Artura,374,2023,189995
Honda,Civic,40890,2021,15005
BMW,X4,30884,2024,31988
Toyota,Camry,162190,2009,4995
Audi,Q5,47464,2022,23990
Ram,ProMaster Cargo Van,76400,2020,17988
BMW,2 Series,59304,2021,15319
Jeep,Wrangler,25752,2021,30601
Volkswagen,Tiguan,51304,2019,16002
Jeep,Grand Cherokee WK,43340,2022,20995
Ford,F-150,65610,2020,31495
Jeep,Cherokee,54464,2019,15995
Hyundai,Tucson,39220,2022,18300
Honda,Accord,42597,2019,14995
Ford,Transit Cargo Van,13273,2022,30831
Honda,Pilot,142167,2011,7999
Nissan,Altima,80167,2021,13500
Honda,Civic,76076,2020,14899
Volkswagen,Tiguan,29784,2021,16960
Jeep,Wrangler,48645,2021,19495
Chrysler,Pacifica,36217,2021,21995
Chevrolet,Cruze,105306,2014,5999
Toyota,Corolla,23237,2014,11499
Tesla,Model Y,64137,2022,22795
BMW,5 Series,23395,2021,29995
Mercedes-Benz,GLC,42910,2022,24295
Mercedes-Benz,C-Class,43000,2021,18900
Ford,Transit Cargo Van,20929,2022,30226
Jeep,Renegade,11360,2023,21500
Honda,Passport,85290,2021,18995
Chevrolet,Corvette,87843,2013,23305
Audi,Q5,90674,2018,14981
Mercedes-Benz,C-Class,45383,2017,20212
Ram,1500,70851,2017,21400
Nissan,Rogue,29686,2023,17244
Subaru,Forester,78870,2015,10995
Honda,Accord,46093,2019,15999
BMW,X6,36040,2022,59995
Audi,Q5,75218,2018,14995
Dodge,Charger,65316,2018,14994
Audi,A7,62066,2019,25990
Honda,Accord,26350,2022,24595
Tesla,Model Y,51579,2021,23395
BMW,X5,42858,2023,32115
Chevrolet,Equinox,32383,2021,16628
